customer,domain,file_id,file_name,deal_name,deal_closedate,pdf_credit_usd,csv_credit_usd,pdf_minutes,csv_minutes,pdf_concurrent,csv_concurrent,pdf_monthly_builds,csv_monthly_builds,pdf_timeout_hours,csv_timeout_hours,pdf_unlimited,evidence_quote,delta_flag,error
AGL,agl.com.au,192308344608,AGL_Expo_OrderForm (1),,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Abacus,abacus.ai,211112453403,04_15_25_Abacus.ai_Expo_Order_Form_FULLY_EXECUTED.docx,,,10000,10000,,,5,5,,,,,,"EAS Build ... Up to $10,000 Monthly Credit $120,000; 5 Concurrencies",,
Abacus,abacus.ai,211112440970,04_15_25_Abacus.ai_Expo_Order_Form_FULLY_EXECUTED.docx-1,,,10000,10000,,,5,5,,,,,False,"EAS Build... Up to $10,000 Monthly Credit $120,000; 5 Concurrencies",,
Academy Sports + Outdoors,academy.com,211871700147,"650INDUST-SOW-2026-42668 - Renewal 2026 - 650 Industries, Inc. - Code Push - Expo EAS Order Form- SaaS (2026 - 2027 Subscription)-1",,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Academy Sports + Outdoors,academy.com,196862906201,"650INDUST-SOW--39450  650 Industries, Inc. - Expo Software Order Form (2024 - 2025 Subscription) - signed - package",,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Academy Sports + Outdoors,academy.com,191227119703,"650INDUST-SOW--39450  650 Industries, Inc. - Expo Software Order Form (2024 - 2025 Subscription) - signed",,,999,999,,,5,5,,,,,False,Up to $999 Monthly Build Credit Up to 5 Concurrencies,,
Affirm,affirm.com,196459574832,Affirm Order Form -1,,,67700,,50000,50000,50,50,,1000,,,False,First 3 Months: 50k Minutes @$.06/minute → $3K/month; Up to 50 Concurrencies $600/concurrency,,
Affirm,affirm.com,201462426188,Expo_MSA_and_Order_Form_for_signature,,,67700,,50000,50000,50,50,,1000,,,False,First 3 Months: 50k Minutes @$.06/minute → $3K/month ($9k); Up to 50 Concurrencies $600/concurrency,,
Affirm,affirm.com,196353524052,Affirm Order Form ,,,67700,,50000,50000,50,50,,1000,,,False,First 3 Months: 50k Minutes @$.06/minute → $3K/month; Up to 50 Concurrencies $600/concurrency,,
Affirm,affirm.com,201480651043,Expo_MSA_and_Order_Form_for_signature-1,,,67700,,50000,50000,50,50,,1000,,,False,First 3 Months: 50k Minutes @$.06/minute → $3K/month ($9k); Up to 50 Concurrencies $600/concurrency,,
